generation,best_fitness,avg_fitness,phenotypic_entropy,genotypic_entropy,fitness_variance,genotypic_variance
3750,25.686922073364258,26.553978538513185,0.1647309245719253,0.3235422852571599,8.78725779967808,230.5221821605645
3751,25.686922073364258,27.053703022003173,0.19059275357069727,0.31829296772802435,23.35312655870536,302.0628220942389
3752,25.686922073364258,26.597853107452394,0.34935951144202504,0.3309608831136376,3.0117820088353837,311.95804077218634
3753,25.686922073364258,26.89178384780884,0.28744769822485866,0.3255507510320803,11.584815611170434,246.77543644527083
3754,25.686922073364258,26.388405666351318,0.40689040549602196,0.31124945259240855,1.481511651525889,178.26711785904058
3755,25.686922073364258,26.355674171447752,0.5137836491550641,0.2973099309053513,0.9510096497541599,123.02336108406588
3756,25.686922073364258,26.188357467651368,0.17747224341934484,0.28873507596304704,1.7900609695387772,77.20614144660698
3757,25.686922073364258,26.36853986740112,0.3438876431918874,0.2925044441245197,1.5604923607675636,107.74058656873945
3758,25.686922073364258,27.004981689453125,0.20777495070003824,0.2917481267500984,19.255243147782224,125.0450440439904
3759,25.686922073364258,26.335592041015627,0.23430384861698114,0.30947705014284316,2.0914406559200343,123.82518645963542
3760,25.686922073364258,26.476916007995605,0.31373078240543756,0.3144741521784831,2.6195240601417193,146.50877548565003
3761,25.686922073364258,27.20654676437378,0.3477051332843096,0.31011892593746154,11.624165752942027,199.73724103444638
3762,25.686922073364258,26.316174335479737,0.26059934249276334,0.2872866852064334,1.4698836507305604,73.50388880935824
3763,25.686922073364258,26.520245094299316,0.30116311094228465,0.27378192502678816,4.153399580005252,144.82856268637093
3764,25.686922073364258,26.82295602798462,0.12097036642660546,0.2773333139643191,19.59361649309645,116.27511219314052
3765,25.686922073364258,26.473640880584718,0.34997789678482844,0.27415649288025723,3.0197385384836424,146.8056598390227
3766,25.686922073364258,26.857847652435304,0.28744769822485866,0.27445613478124015,7.917233705923272,223.96625775061304
3767,25.686922073364258,26.32782190322876,0.24053078797872338,0.27058074926505005,2.1672212744486816,104.74172930862643
3768,25.686922073364258,26.384618320465087,0.29698215778823217,0.2642447984710825,2.0773353375405605,98.43622457998705
3769,25.686922073364258,26.243967628479005,0.3666347575173469,0.27940426563361775,0.9703843505643818,112.81041458361638
3770,25.686922073364258,26.11652114868164,0.3730169838001982,0.2826125570963698,0.4428242994420376,105.60933581004063
3771,25.686922073364258,26.29295373916626,0.1647309245719253,0.29602043715841403,3.0775219338950155,104.15702228152868
3772,25.686922073364258,26.692115516662597,0.33600374517613424,0.29446550236210317,6.7577016842407485,183.17754215074132
3773,25.686922073364258,26.32350622177124,0.2542035288980605,0.2876621555202323,2.0887317361711215,194.50009939801
3774,25.686922073364258,26.317069435119627,0.34242673720898975,0.27805819335463255,1.5662367635768526,159.45212401514056
3775,25.686922073364258,26.63995517730713,0.36997561223062436,0.27142072077444307,3.4261210697621847,224.00351423387485
3776,25.686922073364258,26.330959396362303,0.3186707418562945,0.2643743455769269,1.6892736003993867,164.11977208496353
3777,25.686922073364258,26.549704761505126,0.23430384861698114,0.26764574090409193,5.514992740506052,134.52138402054933
3778,25.686922073364258,26.15063175201416,0.2708789794406433,0.269282111865232,0.9305414020104347,111.26830010118145
3779,25.68094825744629,26.48115982055664,0.3725731087893806,0.2672387256798746,2.336031328563395,137.80689032018458
3780,25.68094825744629,26.599955215454102,0.3016688749995981,0.27025968417713125,5.218604869001639,164.51804869540578
3781,25.68094825744629,26.44000955581665,0.18734163005905344,0.26619325768317686,5.543979164833935,151.48963848832858
3782,25.68094825744629,26.897258262634278,0.20777495070003824,0.2680573217585917,17.12759511466528,217.1440223569466
3783,25.68094825744629,26.3593106842041,0.36770489032208725,0.28677102257444165,1.6560450015471055,252.3457202454568
